item_id,item_name,category,supplier_id,unit_cost_inr,unit_price_inr
I001,Rice 5kg,Staples,S1,220,260
I002,Wheat Atta 5kg,Staples,S1,190,225
I003,Toor Dal 1kg,Staples,S1,130,155
I004,Sugar 1kg,Staples,S1,42,50
I005,Cooking Oil 1L,Staples,S2,130,155
I006,Salt 1kg,Staples,S1,18,22
I007,Tea 250g,Staples,S2,90,110
I008,Biscuits Pack,FMCG,S3,25,30
I009,Namkeen 200g,FMCG,S3,35,45
I010,Detergent 1kg,FMCG,S2,95,115
I011,Shampoo 200ml,FMCG,S2,110,140
I012,Soap Pack of 4,FMCG,S2,70,90
I013,Toothpaste 150g,FMCG,S3,60,75
I014,Diyas & Candles Set,Festive,S4,80,120
I015,Sweets Gift Box,Festive,S4,250,350
I016,Rakhi Set,Festive,S4,60,100
I017,Holi Colors Pack,Festive,S4,40,65
I018,Gift Hamper Small,Festive,S4,300,420
I019,Steel Tiffin Box,Durables,S5,180,250
I020,Umbrella,Durables,S5,150,220
I021,Raincoat,Durables,S5,280,380
I022,Plastic Storage Box,Durables,S5,120,170
I023,Mobile Cover,Accessories,S3,70,150
I024,USB Cable,Accessories,S3,50,99
I025,Earphones,Accessories,S3,180,349
